index,cluster_size
1,5
2,7
3,15
4,7
5,8
6,8
7,7
8,2
9,7
10,2
11,4
12,5
13,12
14,3
15,5
16,14
17,3
18,5
19,5
20,4
21,14
22,3
23,4
24,4
25,8
26,4
27,5
28,22
29,10
30,7
31,15
32,11
33,12
34,4
35,8
36,12
37,6
38,9
39,9
40,10
41,6
42,3
43,11
44,15
45,3
46,2
47,3
48,2
49,4
50,19
51,6
52,9
53,11
54,20
55,2
56,2
57,5
58,6
59,5
60,9
61,9
62,4
63,8
64,4
65,8
66,15
67,2
68,4
69,6
70,9
71,6
72,2
73,6
74,7
75,10
76,5
77,2
78,5
79,10
80,3
81,6
82,5
83,4
84,4
85,3
86,5
87,5
88,2
89,8
90,6
91,11
92,3
93,6
94,3
95,2
96,8
97,3
98,7
99,8
100,4
101,6
102,2
103,6
104,2
105,3
106,2
107,2
108,4
109,5
110,12
111,3
112,3
113,2
114,2
115,2
116,2
117,14
118,12
119,3
120,13
121,13
122,2
123,15
124,21
125,17
126,3
127,5
128,7
129,8
